Gene Systematic Name,Gene Official Symbol,Gene Synonyms,Organism
YER114C,BOI2,BEB1|L000000166|L000002916,Saccharomyces cerevisiae (S288c)
YHL007C,STE20,mitogen-activated protein kinase kinase kinase kinase STE20|L000002123,Saccharomyces cerevisiae (S288c)
YDR463W,STP1,BAP1|SSY2|L000002132,Saccharomyces cerevisiae (S288c)
YOR014W,RTS1,SCS1|protein phosphatase 2A regulatory subunit RTS1|L000001786,Saccharomyces cerevisiae (S288c)
YDR075W,PPH3,phosphoprotein phosphatase PP4 catalytic subunit PPH3|L000001471,Saccharomyces cerevisiae (S288c)
YER089C,PTC2,type 2C protein phosphatase PTC2|L000003403,Saccharomyces cerevisiae (S288c)
YDR233C,RTN1,-,Saccharomyces cerevisiae (S288c)
YPR028W,YOP1,YIP2|L000004674,Saccharomyces cerevisiae (S288c)
YOR245C,DGA1,diacylglycerol O-acyltransferase,Saccharomyces cerevisiae (S288c)
YNR008W,LRO1,phospholipid:diacylglycerol acyltransferase|S000007453,Saccharomyces cerevisiae (S288c)
YHL027W,RIM101,RIM1|alkaline-responsive transcritional regulator RIM101|L000002818,Saccharomyces cerevisiae (S288c)
YBL019W,APN2,ETH1|DNA-(apurinic or apyrimidinic site) lyase APN2|L000004434,Saccharomyces cerevisiae (S288c)
YJR117W,STE24,AFC1|PIO2|L000003457,Saccharomyces cerevisiae (S288c)
YMR274C,RCE1,L000004125,Saccharomyces cerevisiae (S288c)
YLR318W,EST2,TERT|L000003504,Saccharomyces cerevisiae (S288c)
YDR110W,FOB1,HRM1|replication fork barrier binding protein FOB1|L000003959,Saccharomyces cerevisiae (S288c)
YKL048C,ELM1,LDB9|serine/threonine protein kinase ELM1|L000000548,Saccharomyces cerevisiae (S288c)
YER129W,SAK1,PAK1|serine/threonine protein kinase SAK1|L000001333,Saccharomyces cerevisiae (S288c)
YGL179C,TOS3,serine/threonine protein kinase TOS3,Saccharomyces cerevisiae (S288c)
YMR190C,SGS1,ATP-dependent DNA helicase SGS1|L000001877,Saccharomyces cerevisiae (S288c)
YDR524C,AGE1,SAT1|S000007502,Saccharomyces cerevisiae (S288c)
YIL044C,AGE2,SAT2|S000007503,Saccharomyces cerevisiae (S288c)
YIL002C,INP51,SJL1|phosphoinositide 5-phosphatase INP51|L000003319,Saccharomyces cerevisiae (S288c)
YNL106C,INP52,SJL2|phosphatidylinositol-3-/phosphoinositide 5-phosphatase INP52|L000003985,Saccharomyces cerevisiae (S288c)
YMR186W,HSC82,HSP90|Hsp90 family chaperone HSC82|L000000813,Saccharomyces cerevisiae (S288c)
YMR273C,ZDS1,CES1|CKM1|NRC1|OSS1|L000002813,Saccharomyces cerevisiae (S288c)
YBR223C,TDP1,tyrosyl-DNA phosphodiesterase 1|S000007461,Saccharomyces cerevisiae (S288c)
YLR079W,SIC1,SDB25|cyclin-dependent protein serine/threonine kinase inhibiting protein SIC1|L000001886|L000001822,Saccharomyces cerevisiae (S288c)
YHR061C,GIC1,L000003313,Saccharomyces cerevisiae (S288c)
YDR309C,GIC2,L000003314,Saccharomyces cerevisiae (S288c)
YMR127C,SAS2,KAT8|L000001802,Saccharomyces cerevisiae (S288c)
YPL268W,PLC1,phosphatidylinositol phospholipase C|L000001448,Saccharomyces cerevisiae (S288c)
YER143W,DDI1,VSM1|L000004257,Saccharomyces cerevisiae (S288c)
YOL006C,TOP1,MAK1|MAK17|DNA topoisomerase 1|L000002319,Saccharomyces cerevisiae (S288c)
YPL091W,GLR1,LPG17|glutathione-disulfide reductase GLR1|L000000714,Saccharomyces cerevisiae (S288c)
YHR106W,TRR2,thioredoxin-disulfide reductase TRR2|L000003954,Saccharomyces cerevisiae (S288c)
YGR092W,DBF2,serine/threonine-protein kinase DBF2|L000000487,Saccharomyces cerevisiae (S288c)
YBR001C,NTH2,"alpha,alpha-trehalase NTH2|L000001281",Saccharomyces cerevisiae (S288c)
YIL005W,EPS1,protein disulfide isomerase EPS1,Saccharomyces cerevisiae (S288c)
YER100W,UBC6,DOA2|E2 ubiquitin-conjugating protein UBC6|L000002409,Saccharomyces cerevisiae (S288c)
YDR225W,HTA1,H2A1|SPT11|histone H2A|L000000827,Saccharomyces cerevisiae (S288c)
YDR224C,HTB1,SPT12|histone H2B|L000000829,Saccharomyces cerevisiae (S288c)
YDR069C,DOA4,DOS1|MUT4|NPI2|SSV7|UBP4|L000000514,Saccharomyces cerevisiae (S288c)
YNL279W,PRM1,pheromone-regulated protein PRM1,Saccharomyces cerevisiae (S288c)
YNL238W,KEX2,QDS1|SRB1|VMA45|kexin KEX2|yscF|L000000896,Saccharomyces cerevisiae (S288c)
SPCC4E9.02,cig1,SPCC645.01,Schizosaccharomyces pombe (972h)
YDR040C,ENA1,HOR6|PMR2|Na(+)/Li(+)-exporting P-type ATPase ENA1|L000001456,Saccharomyces cerevisiae (S288c)
YHR114W,BZZ1,LSB7,Saccharomyces cerevisiae (S288c)
YMR109W,MYO5,myosin 5|L000002935,Saccharomyces cerevisiae (S288c)
YNL271C,BNI1,PPF3|SHE5|formin BNI1|L000000190,Saccharomyces cerevisiae (S288c)
YIL159W,BNR1,formin BNR1|L000004058,Saccharomyces cerevisiae (S288c)
YCR073C,SSK22,mitogen-activated protein kinase kinase kinase SSK22|L000002827,Saccharomyces cerevisiae (S288c)
YNR031C,SSK2,mitogen-activated protein kinase kinase kinase SSK2|L000002826,Saccharomyces cerevisiae (S288c)
YGR038W,ORM1,L000003422,Saccharomyces cerevisiae (S288c)
YLR350W,ORM2,-,Saccharomyces cerevisiae (S288c)
YHR050W,SMF2,divalent metal ion transporter SMF2|L000001932|L000001870,Saccharomyces cerevisiae (S288c)
YER118C,SHO1,SSU81|osmosensor SHO1|L000002632|L000002823,Saccharomyces cerevisiae (S288c)
SPAC1952.05,gcn5,kat2,Schizosaccharomyces pombe (972h)
SPAC17G8.13c,mst2,-,Schizosaccharomyces pombe (972h)
YOL043C,NTG2,SCR2|bifunctional N-glycosylase/AP lyase NTG2|L000004115,Saccharomyces cerevisiae (S288c)
YMR156C,TPP1,-,Saccharomyces cerevisiae (S288c)
YML060W,OGG1,8-oxoguanine glycosylase OGG1|L000003339,Saccharomyces cerevisiae (S288c)
SPBP26C9.02c,car1,-,Schizosaccharomyces pombe (972h)
SPAC3H1.07,aru1,car3,Schizosaccharomyces pombe (972h)
YOR327C,SNC2,SNAP receptor SNC2|L000001943,Saccharomyces cerevisiae (S288c)
YPR074C,TKL1,transketolase TKL1|L000002313,Saccharomyces cerevisiae (S288c)
YBR117C,TKL2,transketolase TKL2|L000002314,Saccharomyces cerevisiae (S288c)
YNL152W,INN1,-,Saccharomyces cerevisiae (S288c)
YMR032W,HOF1,CYK2|formin-binding protein HOF1|L000004406,Saccharomyces cerevisiae (S288c)
SPCC777.09c,arg1,-,Schizosaccharomyces pombe (972h)
SPAC227.18,lys3,SPAC2F7.01,Schizosaccharomyces pombe (972h)
YDL160C,DHH1,DExD/H-box ATP-dependent RNA helicase DHH1|L000000504,Saccharomyces cerevisiae (S288c)
YER179W,DMC1,ISC2|recombinase DMC1|L000000509,Saccharomyces cerevisiae (S288c)
YOR351C,MEK1,MRE4|serine/threonine protein kinase MEK1|L000001062|L000001148,Saccharomyces cerevisiae (S288c)
YGL207W,SPT16,CDC68|SSF1|chromatin-remodeling protein SPT16|L000002038,Saccharomyces cerevisiae (S288c)
YBL003C,HTA2,H2A2|histone H2A|L000000749|L000000828,Saccharomyces cerevisiae (S288c)
YPL020C,ULP1,NIB1|SUMO protease ULP1|S000029323|L000001249,Saccharomyces cerevisiae (S288c)
YIL031W,ULP2,SMT4|L000001939,Saccharomyces cerevisiae (S288c)
YBL088C,TEL1,DNA-binding protein kinase TEL1|L000002281,Saccharomyces cerevisiae (S288c)
YLL023C,POM33,nucleoporin POM33,Saccharomyces cerevisiae (S288c)
YLR064W,PER33,-,Saccharomyces cerevisiae (S288c)
YHR124W,NDT80,transcription factor NDT80|L000003016,Saccharomyces cerevisiae (S288c)
YIR025W,MND2,-,Saccharomyces cerevisiae (S288c)
SPAC821.09,eng1,-,Schizosaccharomyces pombe (972h)
SPAPYUG7.03c,mid2,-,Schizosaccharomyces pombe (972h)
SPBC216.05,rad3,-,Schizosaccharomyces pombe (972h)
SPAC9E9.08,rad26,-,Schizosaccharomyces pombe (972h)
SPBC29A3.14c,trt1,-,Schizosaccharomyces pombe (972h)
SPAC1952.07,rad1,rad19,Schizosaccharomyces pombe (972h)
SPBC30D10.10c,tor1,-,Schizosaccharomyces pombe (972h)
YBR274W,CHK1,serine/threonine protein kinase CHK1|L000004861,Saccharomyces cerevisiae (S288c)
YPL153C,RAD53,LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573,Saccharomyces cerevisiae (S288c)
YKL190W,CNB1,CRV1|YCN2|calcineurin regulatory subunit B|L000000371,Saccharomyces cerevisiae (S288c)
YGL006W,PMC1,calcium-transporting ATPase PMC1|L000001451,Saccharomyces cerevisiae (S288c)
YLR138W,NHA1,L000004113,Saccharomyces cerevisiae (S288c)
YMR037C,MSN2,stress-responsive transcriptional activator MSN2|L000001198,Saccharomyces cerevisiae (S288c)
YER016W,BIM1,YEB1|microtubule-binding protein BIM1|EB1|L000003272,Saccharomyces cerevisiae (S288c)
YNL322C,KRE1,L000000912,Saccharomyces cerevisiae (S288c)
-,nkx2.2a,id:ibd5090|nk2.2|nkx2-2|nkx2.2|wu:fc83b01|zgc:136536,Danio rerio
SPCC338.08,ctp1,mug38|nip1|slr9,Schizosaccharomyces pombe (972h)
YDR052C,DBF4,DNA52|LSD7|protein serine/threonine kinase activating protein DBF4|L000000488|S000029149|L000000513,Saccharomyces cerevisiae (S288c)
YDL047W,SIT4,PPH1|type 2A-related serine/threonine-protein phosphatase SIT4|L000001901,Saccharomyces cerevisiae (S288c)
YGL113W,SLD3,-,Saccharomyces cerevisiae (S288c)
YBR186W,PCH2,L000004274,Saccharomyces cerevisiae (S288c)
YER075C,PTP3,tyrosine protein phosphatase PTP3|L000003996,Saccharomyces cerevisiae (S288c)
YNL053W,MSG5,tyrosine/serine/threonine protein phosphatase MSG5|L000001188,Saccharomyces cerevisiae (S288c)
YDR059C,UBC5,E2 ubiquitin-conjugating protein UBC5|L000002408,Saccharomyces cerevisiae (S288c)
SPAC3H8.05c,mms1,-,Schizosaccharomyces pombe (972h)
YML123C,PHO84,phosphate transporter PHO84|phoT|L000001430,Saccharomyces cerevisiae (S288c)
YCR037C,PHO87,L000002740,Saccharomyces cerevisiae (S288c)
YJL198W,PHO90,-,Saccharomyces cerevisiae (S288c)
YGR105W,VMA21,L000002466,Saccharomyces cerevisiae (S288c)
SPCC18B5.03,wee1,-,Schizosaccharomyces pombe (972h)
YGR106C,VOA1,-,Saccharomyces cerevisiae (S288c)
YDL095W,PMT1,dolichyl-phosphate-mannose-protein mannosyltransferase PMT1|L000001458,Saccharomyces cerevisiae (S288c)
YAL023C,PMT2,FUN25|dolichyl-phosphate-mannose-protein mannosyltransferase PMT2|L000000642|L000001459,Saccharomyces cerevisiae (S288c)
YBR073W,RDH54,TID1|DNA-dependent ATPase RDH54|L000002988|L000003224,Saccharomyces cerevisiae (S288c)
YGL163C,RAD54,XRS1|DNA-dependent ATPase RAD54|L000001574,Saccharomyces cerevisiae (S288c)
YOR191W,ULS1,DIS1|RIS1|TID4|translocase ULS1|L000004381,Saccharomyces cerevisiae (S288c)
YOR109W,INP53,SJL3|SOP2|phosphatidylinositol-3-/phosphoinositide 5-phosphatase INP53|L000003984,Saccharomyces cerevisiae (S288c)
-,vent,vega2|vent1|wu:fe36b11,Danio rerio
-,vox,vega1|zgc:136532,Danio rerio
YOL012C,HTZ1,HTA3|histone H2AZ|H2AZ|H2A.F/Z|L000003930|L000004094,Saccharomyces cerevisiae (S288c)
YKR029C,SET3,histone-binding protein SET3,Saccharomyces cerevisiae (S288c)
YAL013W,DEP1,FUN54|Rpd3L histone deacetylase complex subunit DEP1|L000000502,Saccharomyces cerevisiae (S288c)
YBR095C,RXT2,RAF60,Saccharomyces cerevisiae (S288c)
YHR167W,THP2,-,Saccharomyces cerevisiae (S288c)
YIL084C,SDS3,L000003384,Saccharomyces cerevisiae (S288c)
YJL168C,SET2,EZL1|histone methyltransferase SET2|KMT3|L000003090,Saccharomyces cerevisiae (S288c)
YNL097C,PHO23,L000004300,Saccharomyces cerevisiae (S288c)
YPL055C,LGE1,-,Saccharomyces cerevisiae (S288c)
-,Sfrp1,2210415K03Rik|AW011917|AW107218|AW742929|sFRP-1,Mus musculus
-,Sfrp2,AI851596|Sdf5,Mus musculus
YJL179W,PFD1,GIM6|L000004367,Saccharomyces cerevisiae (S288c)
YBR231C,SWC5,AOR1|L000004001,Saccharomyces cerevisiae (S288c)
YDR334W,SWR1,chromatin-remodeling protein SWR1|S000007447,Saccharomyces cerevisiae (S288c)
YER161C,SPT2,EXA1|SIN1|L000002028,Saccharomyces cerevisiae (S288c)
YIL040W,APQ12,-,Saccharomyces cerevisiae (S288c)
YNL107W,YAF9,S000007495,Saccharomyces cerevisiae (S288c)
YOL004W,SIN3,CPE1|GAM2|RPD1|SDI1|SDS16|UME4|transcriptional regulator SIN3|L000001695,Saccharomyces cerevisiae (S288c)
YPL181W,CTI6,RXT1,Saccharomyces cerevisiae (S288c)
YCR065W,HCM1,L000000757,Saccharomyces cerevisiae (S288c)
YDR485C,VPS72,SWC2,Saccharomyces cerevisiae (S288c)
YLR085C,ARP6,L000003435,Saccharomyces cerevisiae (S288c)
YML041C,VPS71,SWC6,Saccharomyces cerevisiae (S288c)
YAL002W,VPS8,FUN15|VPL8|VPT8|CORVET complex membrane-binding subunit VPS8|L000003013,Saccharomyces cerevisiae (S288c)
YGL115W,SNF4,CAT3|SCI1|AMP-activated serine/threonine-protein kinase regulatory subunit SNF4|L000001947,Saccharomyces cerevisiae (S288c)
YMR263W,SAP30,-,Saccharomyces cerevisiae (S288c)
YMR272C,SCS7,FAH1|fatty acid alpha-hydroxylase|L000004408,Saccharomyces cerevisiae (S288c)
YGL244W,RTF1,CSL3|L000001782,Saccharomyces cerevisiae (S288c)
YGR056W,RSC1,RSC subunit protein RSC1|L000004024,Saccharomyces cerevisiae (S288c)
YGR063C,SPT4,transcription elongation factor SPT4|L000002030,Saccharomyces cerevisiae (S288c)
YBR279W,PAF1,L000002621,Saccharomyces cerevisiae (S288c)
YNL148C,ALF1,L000003527,Saccharomyces cerevisiae (S288c)
YNL153C,GIM3,PFD4|L000004369,Saccharomyces cerevisiae (S288c)
YNL229C,URE2,[URE3]|L000002439,Saccharomyces cerevisiae (S288c)
YNR010W,CSE2,MED9|L000000426,Saccharomyces cerevisiae (S288c)
YCL037C,SRO9,L000003106,Saccharomyces cerevisiae (S288c)
YHL011C,PRS3,ribose phosphate diphosphokinase subunit PRS3|L000001514,Saccharomyces cerevisiae (S288c)
YHR013C,ARD1,NAA10|L000000103,Saccharomyces cerevisiae (S288c)
YHR041C,SRB2,HRS2|MED20|L000002050|L000003586,Saccharomyces cerevisiae (S288c)
YCR081W,SRB8,GIG1|MED12|NUT6|SSN5|YCR080W|L000003007,Saccharomyces cerevisiae (S288c)
YIL020C,HIS6,1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6|L000000783,Saccharomyces cerevisiae (S288c)
YDL020C,RPN4,SON1|UFD5|stress-regulated transcription factor RPN4|L000001984,Saccharomyces cerevisiae (S288c)
YIR005W,IST3,SNU17,Saccharomyces cerevisiae (S288c)
YJL006C,CTK2,L000003011,Saccharomyces cerevisiae (S288c)
YJL127C,SPT10,CRE1|SUD1|L000002035,Saccharomyces cerevisiae (S288c)
YJL140W,RPB4,CTF15|DNA-directed RNA polymerase II subunit RPB4|B32|L000001678,Saccharomyces cerevisiae (S288c)
YDR159W,SAC3,LEP1|L000001792,Saccharomyces cerevisiae (S288c)
YDR207C,UME6,CAR80|NIM2|RIM16|DNA-binding transcriptional regulator UME6|L000002426,Saccharomyces cerevisiae (S288c)
YOR123C,LEO1,L000000936,Saccharomyces cerevisiae (S288c)
YKL204W,EAP1,-,Saccharomyces cerevisiae (S288c)
YKL213C,DOA1,UFD3|ZZZ4|L000002961,Saccharomyces cerevisiae (S288c)
YOR141C,ARP8,L000003437,Saccharomyces cerevisiae (S288c)
YDR448W,ADA2,SWI8|chromatin-binding transcription regulator ADA2|L000000029,Saccharomyces cerevisiae (S288c)
YLL027W,ISA1,L000004953,Saccharomyces cerevisiae (S288c)
YLR055C,SPT8,SAGA complex subunit SPT8|L000002034,Saccharomyces cerevisiae (S288c)
YLR200W,YKE2,GIM1|PFD6|L000002791,Saccharomyces cerevisiae (S288c)
YER070W,RNR1,CRT7|RIR1|SDS12|ribonucleotide-diphosphate reductase subunit RNR1|L000001655,Saccharomyces cerevisiae (S288c)
YPR031W,NTO1,-,Saccharomyces cerevisiae (S288c)
YPR057W,BRR1,L000004059,Saccharomyces cerevisiae (S288c)
YPR070W,MED1,-,Saccharomyces cerevisiae (S288c)
YGL019W,CKB1,casein kinase 2 regulatory subunit CKB1|L000002856,Saccharomyces cerevisiae (S288c)
YGL127C,SOH1,MED31|L000001982,Saccharomyces cerevisiae (S288c)
YMR060C,SAM37,MAS37|PET3027|TOM37|SAM complex subunit SAM37|L000002841|L000003251,Saccharomyces cerevisiae (S288c)
YGR057C,LST7,L000004355,Saccharomyces cerevisiae (S288c)
YBR248C,HIS7,imidazoleglycerol-phosphate synthase|L000000784,Saccharomyces cerevisiae (S288c)
YCR033W,SNT1,-,Saccharomyces cerevisiae (S288c)
YCR077C,PAT1,MRT1|L000001183|L000003214,Saccharomyces cerevisiae (S288c)
YIL112W,HOS4,-,Saccharomyces cerevisiae (S288c)
YJL124C,LSM1,SPB8|L000004427,Saccharomyces cerevisiae (S288c)
YOL072W,THP1,BUD29,Saccharomyces cerevisiae (S288c)
YOR005C,DNL4,LIG4|DNA ligase (ATP) DNL4|L000003479,Saccharomyces cerevisiae (S288c)
YDR121W,DPB4,S000007463,Saccharomyces cerevisiae (S288c)
YJR060W,CBF1,CEP1|CPF1|CP1|L000000311|L000000401,Saccharomyces cerevisiae (S288c)
YOR043W,WHI2,L000002485,Saccharomyces cerevisiae (S288c)
YJR102C,VPS25,VPL12|VPT25|ESCRT-II subunit protein VPS25,Saccharomyces cerevisiae (S288c)
YDR424C,DYN2,SLC1|dynein light chain|L000003064,Saccharomyces cerevisiae (S288c)
YPL042C,SSN3,CDK8|GIG2|NUT7|RYE5|SRB10|SSX7|UME5|URR1|cyclin-dependent serine/threonine protein kinase SSN3|L000002795|S000029631|L000002443|S000029520|L000002103,Saccharomyces cerevisiae (S288c)
YDR469W,SDC1,CPS25|SAF19,Saccharomyces cerevisiae (S288c)
YAR003W,SWD1,CPS50|FUN16|SAF49|COMPASS subunit protein SWD1,Saccharomyces cerevisiae (S288c)
YBL058W,SHP1,UBX1|protein phosphatase regulator SHP1|L000002746,Saccharomyces cerevisiae (S288c)
YNL025C,SSN8,CNC1|GIG3|NUT9|RYE2|SRB11|UME3|CycC|L000002796,Saccharomyces cerevisiae (S288c)
YHR091C,MSR1,arginine--tRNA ligase MSR1|L000002618,Saccharomyces cerevisiae (S288c)
YDL115C,IWR1,-,Saccharomyces cerevisiae (S288c)
YJL129C,TRK1,L000002334,Saccharomyces cerevisiae (S288c)
YKL139W,CTK1,cyclin-dependent serine/threonine protein kinase CTK1|L000000432,Saccharomyces cerevisiae (S288c)
YNL136W,EAF7,-,Saccharomyces cerevisiae (S288c)
YGR188C,BUB1,protein kinase BUB1|L000000196,Saccharomyces cerevisiae (S288c)
YDR318W,MCM21,CTF5|L000003998,Saccharomyces cerevisiae (S288c)
YPL018W,CTF19,MCM18|L000003420,Saccharomyces cerevisiae (S288c)
YER040W,GLN3,nitrogen-responsive transcriptional regulator GLN3|L000000710,Saccharomyces cerevisiae (S288c)
YGL043W,DST1,PPR2|SII|S-II|TFIIS|P37|L000001476|L000000530,Saccharomyces cerevisiae (S288c)
YAR002W,NUP60,FG-nucleoporin NUP60,Saccharomyces cerevisiae (S288c)
YGL151W,NUT1,MED5|SSX4|L000003073|S000029517|L000002100,Saccharomyces cerevisiae (S288c)
YBR103W,SIF2,EMB1,Saccharomyces cerevisiae (S288c)
YGL194C,HOS2,RTL1|histone deacetylase HOS2|L000004092|L000003448,Saccharomyces cerevisiae (S288c)
YBR175W,SWD3,CPS30|SAF35,Saccharomyces cerevisiae (S288c)
YNR051C,BRE5,-,Saccharomyces cerevisiae (S288c)
YHL020C,OPI1,transcriptional regulator OPI1|L000001303,Saccharomyces cerevisiae (S288c)
YDL116W,NUP84,L000003137,Saccharomyces cerevisiae (S288c)
YOR010C,TIR2,SRP2|L000002312,Saccharomyces cerevisiae (S288c)
YDR289C,RTT103,-,Saccharomyces cerevisiae (S288c)
YOR058C,ASE1,YOR29-09|L000000125,Saccharomyces cerevisiae (S288c)
YDR497C,ITR1,myo-inositol transporter ITR1|L000000879,Saccharomyces cerevisiae (S288c)
YLR244C,MAP1,L000001025,Saccharomyces cerevisiae (S288c)
YER083C,GET2,HUR2|RMD7,Saccharomyces cerevisiae (S288c)
YJR105W,ADO1,adenosine kinase,Saccharomyces cerevisiae (S288c)
YNL273W,TOF1,L000004244,Saccharomyces cerevisiae (S288c)
YLR015W,BRE2,CPS60,Saccharomyces cerevisiae (S288c)
YEL061C,CIN8,KSL2|SDS15|kinesin motor protein CIN8|L000000340,Saccharomyces cerevisiae (S288c)
YER122C,GLO3,L000000713,Saccharomyces cerevisiae (S288c)
YPR023C,EAF3,-,Saccharomyces cerevisiae (S288c)
YPR046W,MCM16,L000003997,Saccharomyces cerevisiae (S288c)
YJR043C,POL32,REV5|DNA polymerase delta subunit POL32|L000004337|S000029416|L000001617,Saccharomyces cerevisiae (S288c)
YMR234W,RNH1,L000001653,Saccharomyces cerevisiae (S288c)
YOR249C,APC5,RMC1|anaphase promoting complex subunit 5|L000004320,Saccharomyces cerevisiae (S288c)
YER031C,YPT31,YPT8|Rab family GTPase YPT31|L000002545,Saccharomyces cerevisiae (S288c)
YGL210W,YPT32,Rab family GTPase YPT32|L000002897,Saccharomyces cerevisiae (S288c)
YNL088W,TOP2,TOR3|TRF3|DNA topoisomerase 2|L000002320,Saccharomyces cerevisiae (S288c)
YGL087C,MMS2,E2 ubiquitin-conjugating protein MMS2|L000004015,Saccharomyces cerevisiae (S288c)
YKL062W,MSN4,stress-responsive transcriptional activator MSN4|L000001199,Saccharomyces cerevisiae (S288c)
SPBC19C7.02,ubr1,SPBC32F12.14,Schizosaccharomyces pombe (972h)
YOR089C,VPS21,VPS12|VPT12|YPT21|YPT51|Rab family GTPase VPS21|L000002474,Saccharomyces cerevisiae (S288c)
YKR014C,YPT52,Rab family GTPase YPT52|L000002546,Saccharomyces cerevisiae (S288c)
YNL250W,RAD50,MRX complex DNA-binding subunit|L000001570,Saccharomyces cerevisiae (S288c)
YER173W,RAD24,RS1|L000001777,Saccharomyces cerevisiae (S288c)
YAL041W,CDC24,CLS4|Rho family guanine nucleotide exchange factor CDC24|L000000262,Saccharomyces cerevisiae (S288c)
YLR371W,ROM2,Rho family guanine nucleotide exchange factor ROM2|L000003182,Saccharomyces cerevisiae (S288c)
YGR070W,ROM1,SKC1|Rho family guanine nucleotide exchange factor ROM1|L000003181,Saccharomyces cerevisiae (S288c)
YMR223W,UBP8,ubiquitin-specific protease UBP8|L000004587,Saccharomyces cerevisiae (S288c)
YNL186W,UBP10,DOT4|L000004391|L000004588,Saccharomyces cerevisiae (S288c)
YOR361C,PRT1,CDC63|DNA26|L000001515,Saccharomyces cerevisiae (S288c)
YLR362W,STE11,mitogen-activated protein kinase kinase kinase STE11|L000002118,Saccharomyces cerevisiae (S288c)
YJL157C,FAR1,cyclin-dependent protein serine/threonine kinase inhibiting protein FAR1|L000000600,Saccharomyces cerevisiae (S288c)
YGR040W,KSS1,mitogen-activated serine/threonine-protein kinase KSS1|L000000922,Saccharomyces cerevisiae (S288c)
YLR113W,HOG1,SSK3|mitogen-activated protein kinase HOG1|L000000797,Saccharomyces cerevisiae (S288c)
YOR360C,PDE2,"SRA5|3,5-cyclic-nucleotide phosphodiesterase PDE2|L000002046",Saccharomyces cerevisiae (S288c)
YNL072W,RNH201,RNH35|Rnh2A|L000004047,Saccharomyces cerevisiae (S288c)
YNL262W,POL2,DUN2|DNA polymerase epsilon catalytic subunit|L000001461,Saccharomyces cerevisiae (S288c)
YDL101C,DUN1,serine/threonine protein kinase DUN1|L000000531,Saccharomyces cerevisiae (S288c)
YHR031C,RRM3,RTT104|S000007420,Saccharomyces cerevisiae (S288c)
YNL246W,VPS75,-,Saccharomyces cerevisiae (S288c)
YJR094C,IME1,transcription factor IME1|L000000861,Saccharomyces cerevisiae (S288c)
YDR232W,HEM1,CYD1|OLE3|5-aminolevulinate synthase|L000000760,Saccharomyces cerevisiae (S288c)
YOR011W,AUS1,ATP-binding cassette sterol transporter AUS1,Saccharomyces cerevisiae (S288c)
YFR028C,CDC14,OAF3|phosphoprotein phosphatase CDC14|L000000254,Saccharomyces cerevisiae (S288c)
YBR245C,ISW1,SGN2|chromatin-remodeling ATPase ISW1|L000004447,Saccharomyces cerevisiae (S288c)
YBR040W,FIG1,L000003311,Saccharomyces cerevisiae (S288c)
YML109W,ZDS2,CES4|L000003287,Saccharomyces cerevisiae (S288c)
YHR115C,DMA1,CHF1|ubiquitin-conjugating protein DMA1|S000029719,Saccharomyces cerevisiae (S288c)
YNL116W,DMA2,CHF2|ubiquitin-conjugating protein DMA2|S000029720,Saccharomyces cerevisiae (S288c)
YGL190C,CDC55,TMR4|protein phosphatase 2A regulatory subunit CDC55|L000000282|S000029602|L000003191,Saccharomyces cerevisiae (S288c)
YKL101W,HSL1,ELM2|NIK1|protein kinase HSL1|L000003129|L000002839,Saccharomyces cerevisiae (S288c)
YMR036C,MIH1,putative tyrosine protein phosphatase MIH1|L000001111,Saccharomyces cerevisiae (S288c)
YNL163C,RIA1,EFL1|GTPase RIA1,Saccharomyces cerevisiae (S288c)
SPAPB24D3.04c,mag1,-,Schizosaccharomyces pombe (972h)
SPBC23G7.11,mag2,-,Schizosaccharomyces pombe (972h)
YCR084C,TUP1,AAR1|AER2|AMM1|CRT4|CYC9|FLK1|ROX4|SFL2|UMR7|chromatin-silencing transcriptional regulator TUP1|L000002391,Saccharomyces cerevisiae (S288c)
YBR114W,RAD16,PSO5|DNA repair protein RAD16|L000004121|L000001565,Saccharomyces cerevisiae (S288c)
YER106W,MAM1,-,Saccharomyces cerevisiae (S288c)
YHL002W,HSE1,ESCRT-0 subunit protein HSE1,Saccharomyces cerevisiae (S288c)
YNL241C,ZWF1,MET19|POS10|glucose-6-phosphate dehydrogenase|L000002572,Saccharomyces cerevisiae (S288c)
YKR043C,SHB17,-,Saccharomyces cerevisiae (S288c)
YNL251C,NRD1,Nrd1 complex RNA-binding subunit|L000002862,Saccharomyces cerevisiae (S288c)
YHR119W,SET1,YTX1|histone methyltransferase SET1|KMT2|L000003286,Saccharomyces cerevisiae (S288c)
YDR386W,MUS81,SLX3|L000004650,Saccharomyces cerevisiae (S288c)
YER095W,RAD51,MUT5|recombinase RAD51|L000001571,Saccharomyces cerevisiae (S288c)
YDR279W,RNH202,Rnh2B,Saccharomyces cerevisiae (S288c)
YKL026C,GPX1,glutathione peroxidase GPX1,Saccharomyces cerevisiae (S288c)
YBR244W,GPX2,AMI1|glutathione peroxidase GPX2,Saccharomyces cerevisiae (S288c)
SPAC1F7.01c,spt6,SPAC694.07c,Schizosaccharomyces pombe (972h)
YMR015C,ERG5,CYP61|C-22 sterol desaturase|L000003978,Saccharomyces cerevisiae (S288c)
